,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,incr,rsi6,rsi12,rsi24,upper_crossover_rsi_6,upper_crossover_rsi_12,upper_crossover_rsi_24,lower_crossover_rsi_6,lower_crossover_rsi_12,lower_crossover_rsi_24,lower_crossunder_rsi_6,lower_crossunder_rsi_12,lower_crossunder_rsi_24,upper_crossunder_rsi_6,upper_crossunder_rsi_12,upper_crossunder_rsi_24,crossover_6_12,crossover_6_24,crossover_12_24,crossunder_6_12,crossunder_6_24,crossunder_12_24
0,HK.03690,2018-09-20 00:00:00,72.9,72.65,74.0,72.0,0.0,0.0211,115846804,8438947990.0,-0.3429355281207133,69.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HK.03690,2018-09-21 00:00:00,74.0,72.1,74.0,71.95,0.0,0.00798,43838241,3176663016.0,-0.7570543702684258,72.65,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HK.03690,2018-09-24 00:00:00,70.65,69.0,71.9,69.0,0.0,0.00573,31460064,2200166444.0,-4.299583911234389,72.1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HK.03690,2018-09-26 00:00:00,69.35,68.8,69.6,65.65,0.0,0.0125,68632397,4703103298.0,-0.28985507246377223,69.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HK.03690,2018-09-27 00:00:00,68.8,67.0,69.75,65.65,0.0,0.00537,29514806,1969154540.0,-2.6162790697674376,68.8,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HK.03690,2018-09-28 00:00:00,67.05,68.75,68.8,65.05,0.0,0.0049,26889022,1803101582.0,2.6119402985074625,67.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HK.03690,2018-10-02 00:00:00,68.75,66.7,68.75,66.05,0.0,0.0012,6611904,443955890.0,-2.981818181818178,68.75,0,18.518518518518505,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,HK.03690,2018-10-03 00:00:00,66.5,65.05,66.5,65.0,0.0,0.00244,13389350,871853112.0,-2.4737631184407882,66.7,0,15.310586176727895,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,HK.03690,2018-10-04 00:00:00,65.05,65.05,65.8,64.95,0.0,0.0027,14815600,963873670.0,0.0,65.05,0,15.310586176727895,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,HK.03690,2018-10-05 00:00:00,64.85,67.9,68.0,63.8,0.0,0.00309,16945330,1111466215.0,4.381245196003087,65.05,1,40.81248318536457,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,HK.03690,2018-10-08 00:00:00,68.05,68.45,69.0,68.0,0.0,0.00234,12875421,880882700.0,0.8100147275404965,67.9,1,44.67079120768573,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,HK.03690,2018-10-09 00:00:00,68.0,68.95,69.3,68.0,0.0,0.00102,5585136,383280261.0,0.7304601899196493,68.45,1,48.344240809757395,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,HK.03690,2018-10-10 00:00:00,69.3,69.0,69.3,68.5,0.0,0.00164,9010000,619788603.0,0.07251631617113438,68.95,1,48.75253505538367,37.87375415282391,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,HK.03690,2018-10-11 00:00:00,67.0,62.0,67.0,60.0,0.0,0.00667,36620203,2340596546.0,-10.144927536231885,69.0,0,20.94275362113173,25.12522540573032,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,HK.03690,2018-10-12 00:00:00,61.8,59.3,62.3,58.25,0.0,0.00318,17488088,1054191288.0,-4.354838709677424,62.0,0,16.568288239736802,22.008073136876376,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,HK.03690,2018-10-15 00:00:00,60.0,55.45,61.95,53.7,0.0,0.00207,11367725,649184215.0,-6.492411467116348,59.3,0,12.2057896983805,18.447835448624517,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,HK.03690,2018-10-16 00:00:00,55.8,56.0,58.0,55.8,0.0,0.00255,14010749,792669481.0,0.9918845807033313,55.45,1,15.997482642727547,20.453275998856782,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,HK.03690,2018-10-18 00:00:00,57.1,55.0,57.95,53.9,0.0,0.00187,10245018,569584245.0,-1.7857142857142856,56.0,0,14.619863531537973,19.502056840144903,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,HK.03690,2018-10-19 00:00:00,55.1,55.0,55.5,52.8,0.0,0.00116,6373538,348874156.0,0.0,55.0,0,14.619863531537973,19.502056840144903,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,HK.03690,2018-10-22 00:00:00,56.2,58.5,60.35,54.25,0.0,0.00248,13604574,791607453.0,6.363636363636363,55.0,1,40.46091594641924,32.565181446816126,0.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20,HK.03690,2018-10-23 00:00:00,58.55,55.05,59.0,54.1,0.0,0.00158,8703111,482165894.0,-5.897435897435902,58.5,0,29.794441485790145,27.72678536289537,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,HK.03690,2018-10-24 00:00:00,56.5,52.75,56.9,52.25,0.0,0.00175,9604413,512421510.0,-4.178019981834691,55.05,0,24.60521783201183,25.02293043666576,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,HK.03690,2018-10-25 00:00:00,50.15,55.0,55.2,50.15,0.0,0.00146,7989938,421582134.0,4.265402843601896,52.75,1,37.40353519223328,32.09031648836455,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,HK.03690,2018-10-26 00:00:00,55.3,52.75,55.9,51.75,0.0,0.00104,5718032,301136774.0,-4.090909090909091,55.0,0,31.073779958889162,29.098159137522643,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,HK.03690,2018-10-29 00:00:00,52.5,52.85,55.0,52.25,0.0,0.00124,6819861,363509852.0,0.18957345971564252,52.75,1,31.69031149768753,29.41725049592452,27.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,HK.03690,2018-10-30 00:00:00,52.3,50.15,53.1,49.8,0.0,0.00189,10378493,530214220.0,-5.108798486281936,52.85,0,24.56972023102398,25.97413948538255,25.845096582466567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,HK.03690,2018-10-31 00:00:00,50.5,50.7,52.6,49.45,0.0,0.00302,16590628,841320236.0,1.096709870388842,50.15,1,28.497018376850022,27.850725187252408,26.781670600242407,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
27,HK.03690,2018-11-01 00:00:00,52.45,56.35,56.9,52.0,0.0,0.00337,18512139,988958654.0,11.143984220907296,50.7,1,56.4490269642974,43.81300911718632,35.512348340323456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,HK.03690,2018-11-02 00:00:00,60.0,61.35,63.0,58.5,0.0,0.00355,19469470,1183257773.0,8.873114463176575,56.35,1,69.22491158421367,53.70168915956392,41.90885745703431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,HK.03690,2018-11-05 00:00:00,60.0,62.15,64.4,59.6,0.0,0.00214,11757361,726209781.0,1.3039934800325952,61.35,1,70.8658657979831,55.08155174654198,42.85519614612397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,HK.03690,2018-11-06 00:00:00,62.5,62.8,63.0,61.7,0.0,0.00084,4586359,285971374.0,1.0458567980691853,62.15,1,72.30563595229019,56.23762021082657,43.633703914096365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,HK.03690,2018-11-07 00:00:00,62.8,62.05,63.5,61.45,0.0,0.00063,3474958,216479402.0,-1.194267515923567,62.8,0,67.67492187780198,54.47290033685203,42.9295400221851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,HK.03690,2018-11-08 00:00:00,62.8,59.8,63.2,59.55,0.0,0.00079,4331755,264486942.0,-3.62610797743755,62.05,0,54.99535718880037,49.399689865579994,40.86507000942355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,HK.03690,2018-11-09 00:00:00,60.0,56.3,60.05,55.0,0.0,0.00127,6976039,391763193.0,-5.852842809364549,59.8,0,40.74519630757681,42.65789024242993,37.906164359678584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,HK.03690,2018-11-12 00:00:00,56.4,53.95,56.45,52.35,0.0,0.00134,7366316,398613877.0,-4.174067495559493,56.3,0,33.70789110326966,38.78119887215436,36.0760385902207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,HK.03690,2018-11-13 00:00:00,51.3,54.55,55.2,51.3,0.0,0.00129,7060621,377241037.0,1.112140871177005,53.95,1,37.03956383371083,40.292539658881836,36.88784208831222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,HK.03690,2018-11-14 00:00:00,55.2,56.9,58.6,53.25,0.0,0.00082,4528430,254118598.0,4.307974335472046,54.55,1,49.06979071324946,45.98971070833253,40.00188683033653,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,HK.03690,2018-11-15 00:00:00,57.5,57.5,58.15,56.05,0.0,0.0006,3307828,188772947.0,1.0544815465729374,56.9,1,51.88647334142281,47.387969855721245,40.78036128474022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,HK.03690,2018-11-16 00:00:00,57.8,58.3,59.4,57.0,0.0,0.00104,5727882,329886628.0,1.391304347826082,57.5,1,55.797818487272174,49.29725136502769,41.83044674141377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,HK.03690,2018-11-19 00:00:00,58.5,58.35,60.0,57.6,0.0,0.00098,5370348,313229405.0,0.08576329331047045,58.3,1,56.06568846288171,49.42239585640884,41.897638513821654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,HK.03690,2018-11-20 00:00:00,56.9,57.0,57.95,56.25,0.0,0.00105,5786600,328993008.0,-2.3136246786632415,58.35,0,46.86405005680276,46.072909608762394,40.577107444876006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,HK.03690,2018-11-21 00:00:00,57.0,59.7,60.2,56.35,0.0,0.00155,8520454,506066438.0,4.736842105263163,57.0,1,61.879487176088055,53.01976342463088,44.244522148066515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,HK.03690,2018-11-22 00:00:00,60.7,61.05,63.0,59.0,0.0,0.00172,9433464,581205006.0,2.261306532663307,59.7,1,67.40586138445866,56.10411280909928,45.9838570567265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,HK.03690,2018-11-23 00:00:00,56.05,53.85,57.0,52.25,0.0,0.00336,18461332,1008645099.0,-11.793611793611786,61.05,0,34.96489600626852,40.5970348183122,39.18150749254946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,HK.03690,2018-11-26 00:00:00,53.95,52.65,54.1,50.9,0.0,0.00156,8579817,444832515.0,-2.228412256267415,53.85,0,31.89483850548838,38.65448368613382,38.19877538599463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,HK.03690,2018-11-27 00:00:00,51.85,50.95,53.1,50.05,0.0,0.00164,9010569,460387495.0,-3.2288698955365542,52.65,0,27.75233637075604,35.99283668431829,36.83311250824143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,HK.03690,2018-11-28 00:00:00,51.1,53.0,53.05,49.65,0.0,0.00188,10342326,528834423.0,4.02355250245338,50.95,1,39.1826026959075,41.309193912680946,39.55243803035449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,HK.03690,2018-11-29 00:00:00,53.9,50.5,55.25,50.25,0.0,0.00176,9647537,503928238.0,-4.716981132075472,53.0,0,31.81629933801949,37.19875082522264,37.498195828519385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,HK.03690,2018-11-30 00:00:00,51.0,52.45,53.4,51.0,0.0,0.00143,7860149,412780235.0,3.861386138613867,50.5,1,42.01905442770303,42.101007943966366,40.03313611549718,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
49,HK.03690,2018-12-03 00:00:00,55.05,55.5,55.55,54.0,0.0,0.00186,10186476,558679283.0,5.815061963775018,52.45,1,54.73265105339146,48.906330116435406,43.756183760369865,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,HK.03690,2018-12-04 00:00:00,55.55,53.85,55.55,53.0,0.0,0.00096,5265125,283467795.0,-2.97297297297297,55.5,0,47.912454303971266,45.73392372872772,42.2745734157811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,HK.03690,2018-12-05 00:00:00,52.85,54.65,55.3,51.65,0.0,0.00107,5854445,313213702.0,1.4856081708449342,53.85,1,51.433521568705736,47.53402160849724,43.24681513029385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,HK.03690,2018-12-06 00:00:00,54.8,54.0,54.8,52.25,0.0,0.00175,9598571,513834796.0,-1.189387008234215,54.65,0,48.25319912055697,46.17633634900423,42.63796508215343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,HK.03690,2018-12-07 00:00:00,53.0,54.0,54.45,52.9,0.0,0.0007,3870878,209012862.0,0.0,54.0,0,48.25319912055697,46.17633634900423,42.63796508215343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,HK.03690,2018-12-10 00:00:00,53.95,52.05,54.0,51.65,0.0,0.00114,6282378,329165581.0,-3.6111111111111165,54.0,0,38.08096058690013,41.903259293825826,40.76334157298366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,HK.03690,2018-12-11 00:00:00,53.0,52.5,53.25,51.9,0.0,0.00097,5323958,278684908.0,0.8645533141210429,52.05,1,41.49629283559141,43.22588835920838,41.38391857841937,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,HK.03690,2018-12-12 00:00:00,53.95,52.3,53.95,52.1,0.0,0.00076,4180258,219210708.0,-0.38095238095238637,52.5,0,40.31045533450772,42.75396794568575,41.183825209099766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,HK.03690,2018-12-13 00:00:00,52.55,52.35,53.1,52.05,0.0,0.00081,4430980,232086970.0,0.09560229445507508,52.3,1,40.817829122571574,42.92391263586333,41.25791763910346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,HK.03690,2018-12-14 00:00:00,52.3,52.6,53.0,51.55,0.0,0.00088,4849676,253958999.0,0.4775549188156638,52.35,1,43.689724807943705,43.83340461838043,41.641478911013415,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,HK.03690,2018-12-17 00:00:00,52.7,51.85,52.7,50.65,0.0,0.00068,3721475,191439953.0,-1.4258555133079849,52.6,0,37.1924013220581,41.66079332706514,40.80735886235547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,HK.03690,2018-12-18 00:00:00,51.8,47.9,51.8,47.9,0.0,0.00157,8637104,424648172.0,-7.61812921890068,51.85,0,19.172530011719815,32.42653921872753,36.76062587554439,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,HK.03690,2018-12-19 00:00:00,48.15,45.8,48.5,45.2,0.0,0.00168,9201997,424663366.0,-4.384133611691026,47.9,0,14.645565767592956,28.732824381352557,34.84373927118294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,HK.03690,2018-12-20 00:00:00,45.6,44.85,47.4,44.6,0.0,0.00158,8695876,394521569.0,-2.074235807860253,45.8,0,12.981610085211557,27.20356398871253,34.00666257043744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,HK.03690,2018-12-21 00:00:00,44.25,46.9,47.0,43.1,0.0,0.00172,9429505,423700335.0,4.57079152731326,44.85,1,32.76295170604537,35.30882455837363,37.39334637595589,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,HK.03690,2018-12-24 00:00:00,46.2,44.25,46.2,43.2,0.0,0.00048,2629925,116223626.0,-5.650319829424304,46.9,0,24.22168460028813,30.51720630079936,34.972450859645065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,HK.03690,2018-12-27 00:00:00,46.45,45.8,46.5,45.1,0.0,0.00162,8884712,406803035.0,3.502824858757056,44.25,1,35.94292232315719,36.05433296300807,37.44427738736807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,HK.03690,2018-12-28 00:00:00,45.9,44.05,45.9,44.05,0.0,0.00075,4137428,184980626.0,-3.820960698689957,45.8,0,29.715608501958584,32.83180389982169,35.83929660548519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,HK.03690,2018-12-31 00:00:00,44.95,43.9,45.15,43.4,0.0,0.00099,5459196,241637753.0,-0.3405221339387028,44.05,0,29.195330786535507,32.55968336130907,35.70242331947081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,HK.03690,2019-01-02 00:00:00,43.6,41.2,44.25,41.15,0.0,0.00113,6185730,262047202.0,-6.1503416856491935,43.9,0,21.183897585682928,28.002247797119352,33.312816342372884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,HK.03690,2019-01-03 00:00:00,41.1,41.25,42.65,40.25,0.0,0.00088,4813333,199114801.0,0.12135922330096396,41.2,1,21.661601708655823,28.205262633055,33.39895527186225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,HK.03690,2019-01-04 00:00:00,41.95,44.0,44.45,40.8,0.0,0.00187,10293472,438106345.0,6.666666666666667,41.25,1,44.04503122175864,38.59416634007557,37.995449825880996,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
71,HK.03690,2019-01-07 00:00:00,44.7,45.45,46.25,44.5,0.0,0.00107,5853496,266773568.0,3.295454545454552,44.0,1,52.61216189579903,43.31249633314775,40.26375931919261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,HK.03690,2019-01-08 00:00:00,44.8,43.9,46.45,43.25,0.0,0.00106,5837715,259530609.0,-3.4103410341034195,45.45,0,43.975391238172975,39.75065005915326,38.685165807381125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,HK.03690,2019-01-09 00:00:00,45.55,45.6,46.2,44.3,0.0,0.00133,7311038,331741981.0,3.872437357630986,43.9,1,53.929203202476955,45.14776954193404,41.318220592956436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
