,close,correct,correct_by_close_open,current_close,date,high,incr,incr_by_close_open,low,open,rmse_close
0,278.14,0,1.0,278.4,2020-12-21,285.46,0.54,0,273.83,279.16,
1,279.3,0,0.0,278.4,2020-12-22,284.3,0.54,1,272.74,277.95,
2,284.41,1,1.0,276.2,2020-12-23,286.84,1.0,1,276.74,279.1,
3,289.54,0,0.0,287.0,2020-12-24,296.0,0.57,1,283.34,287.82,-4.35
4,276.23,1,1.0,279.2,2020-12-25,282.96,0.16,0,272.09,278.93,-10.01
5,259.95,0,1.0,259.2,2020-12-29,268.51,0.37,1,255.57,260.9,-5.65
6,277.7,0,1.0,275.8,2020-12-30,282.3,0.25,1,267.63,276.7,-4.41
7,293.43,1,1.0,287.0,2020-12-31,299.29,0.64,1,284.95,291.39,-0.21
8,294.93,1,0.0,294.6,2021-01-04,301.61,0.32,1,288.01,296.54,-4.74
9,290.85,1,0.0,292.6,2021-01-05,298.25,0.77,0,280.67,291.22,-7.1
10,295.28,1,0.0,296.6,2021-01-06,303.02,0.52,0,290.48,298.64,-5.73
11,312.69,0,0.0,310.0,2021-01-07,318.85,0.61,1,301.45,311.04,-3.17
12,303.06,0,0.0,309.8,2021-01-08,311.23,0.05,0,299.59,305.43,-12.4
13,320.22,0,0.0,318.0,2021-01-11,325.48,0.81,1,308.5,316.94,-3.47
14,307.39,1,1.0,309.6,2021-01-12,315.77,0.47,0,300.7,306.62,-7.65
15,304.8,0,0.0,302.0,2021-01-13,313.37,0.92,1,299.41,305.84,-2.48
16,299.7,1,1.0,296.4,2021-01-14,307.57,0.51,1,290.36,296.68,-1.39
17,315.46,0,0.0,313.2,2021-01-15,321.59,0.52,1,306.59,314.24,-3.04
18,299.17,0,0.0,307.6,2021-01-18,308.61,0.14,0,296.47,306.6,-13.79
19,324.73,0,0.0,325.0,2021-01-19,330.98,0.14,0,317.34,325.36,-5.95
20,338.89,0,0.0,341.0,2021-01-20,345.21,0.29,0,328.05,338.91,-8.09
21,374.8,1,1.0,372.0,2021-01-21,382.58,0.66,1,365.45,375.83,-2.79
22,372.46,1,0.0,375.2,2021-01-22,387.61,0.52,0,360.92,374.92,-8.59
23,378.03,1,0.0,380.2,2021-01-25,391.64,0.97,0,367.2,382.25,-8.62
24,392.28,0,1.0,399.6,2021-01-26,406.89,1.4,0,380.92,402.8,-15.26
25,369.02,1,1.0,378.6,2021-01-27,387.42,0.31,0,365.4,379.04,-16.97
27,378.21,-2,,368.0,2021-01-28,385.82,1.07,1,367.17,373.37,2.88
