,high,low,open,close,current_close,incr,date,correct
0,[138.],[135.],[137.],[136.],137.8,-1,2020-12-05,-1
1,[139.5],[136.5],[137.2],[137.8],138.5,-1,2020-12-08,-1
2,[139.5],[136.2],[137.6],[138.9],142.1,-1,2020-12-09,-1
3,[143.6],[139.5],[139.9],[142.],143.1,-1,2020-12-10,1
4,[143.5],[142.2],[143.],[143.5],137.2,1,2020-12-11,-1
5,[138.4],[137.1],[138.4],[137.3],136.9,1,2020-12-12,-2
