,close,correct,correct_by_close_open,current_close,date,high,incr,incr_by_close_open,low,open,rmse_close
0,26526.47,0,0.0,26498.6,2020-12-21,26644.54,0.59,1,26362.34,26503.69,
1,26405.0,0,0.0,26306.68,2020-12-22,26500.91,0.64,1,26203.19,26289.79,
2,26223.29,1,1.0,26119.25,2020-12-23,26342.29,0.69,1,26024.21,26175.05,
3,26350.76,1,1.0,26343.1,2020-12-24,26531.28,0.55,1,26229.02,26432.69,-287.57
4,26384.67,0,1.0,26386.56,2020-12-25,26535.26,0.53,0,26240.51,26413.6,-296.71
5,26332.44,1,1.0,26300.0,2020-12-29,26478.61,0.57,1,26187.6,26351.71,-275.44
6,26604.76,1,1.0,26549.12,2020-12-30,26684.77,0.54,1,26433.41,26567.41,-260.24
7,27047.91,0,0.0,27141.97,2020-12-31,27215.01,0.46,0,26952.38,27175.49,-392.81
8,27200.96,1,0.0,27231.13,2021-01-04,27306.31,0.54,0,27077.85,27217.13,-360.55
9,27521.28,1,1.0,27472.81,2021-01-05,27654.3,0.61,1,27329.39,27529.89,-257.49
10,27516.43,0,0.0,27649.86,2021-01-06,27692.86,0.45,0,27345.23,27608.48,-476.58
11,27611.03,1,1.0,27692.3,2021-01-07,27830.41,0.39,0,27464.95,27730.35,-413.73
12,27466.0,0,0.0,27653.42,2021-01-08,27664.66,0.34,0,27278.21,27513.67,-489.4
13,27856.88,0,0.0,27878.22,2021-01-11,28016.4,0.48,0,27693.25,27887.04,-320.71
14,27948.5,1,1.0,27908.22,2021-01-12,28108.41,0.69,1,27747.59,27918.81,-256.95
15,28248.52,0,1.0,28276.75,2021-01-13,28452.97,0.51,0,28067.74,28292.79,-347.33
16,28189.78,0,0.0,28235.6,2021-01-14,28353.33,0.49,0,28018.06,28222.96,-342.33
17,28595.05,1,1.0,28496.86,2021-01-15,28754.6,0.57,1,28421.21,28594.69,-228.64
18,28388.71,0,0.0,28573.86,2021-01-18,28605.44,0.39,0,28213.76,28517.14,-482.87
19,28908.1,1,1.0,28862.77,2021-01-19,29085.7,0.56,1,28729.75,28956.8,-257.25
20,29497.42,0,0.0,29642.28,2021-01-20,29669.04,0.49,0,29315.32,29546.76,-442.79
21,29985.27,0,0.0,29962.47,2021-01-21,30138.11,0.69,1,29748.73,29980.36,-285.13
23,29958.87,-2,,29937.42,2021-01-22,30172.74,0.59,1,29730.12,29994.34,-302.75
