,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,incr,rsi6,rsi12,rsi24,crossover_6_12,crossover_6_24,crossover_12_24,upper_crossover_rsi_6,upper_crossover_rsi_12,upper_crossover_rsi_24,lower_crossover_rsi_6,lower_crossover_rsi_12,lower_crossover_rsi_24,crossunder_6_12,crossunder_6_24,crossunder_12_24,lower_crossunder_rsi_6,lower_crossunder_rsi_12,lower_crossunder_rsi_24,upper_crossunder_rsi_6,upper_crossunder_rsi_12,upper_crossunder_rsi_24
0,HK.09988,2019-11-26 00:00:00,187.0,187.6,189.5,187.0,40.188,0.00349,74549578,13996288126.0,0.320855614973259,176.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HK.09988,2019-11-27 00:00:00,190.0,193.2,195.3,189.3,41.388,0.00251,53617241,10354262260.0,2.9850746268656687,187.6,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HK.09988,2019-11-28 00:00:00,197.0,204.0,204.2,196.9,43.701,0.00196,41816834,8369008729.0,5.590062111801249,193.2,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HK.09988,2019-11-29 00:00:00,204.0,198.4,204.8,197.5,42.502,0.00171,36509531,7303350200.0,-2.7450980392156836,204.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HK.09988,2019-12-02 00:00:00,198.0,195.5,198.9,194.0,41.88,0.00124,26592325,5215712264.0,-1.4616935483870996,198.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HK.09988,2019-12-03 00:00:00,191.7,192.6,194.2,190.4,41.259,0.00093,19911922,3833266643.0,-1.4833759590792868,195.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HK.09988,2019-12-04 00:00:00,190.0,189.0,191.6,188.5,40.488,0.0009,19276308,3662461874.0,-1.86915887850467,192.6,0,52.229299363057336,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,HK.09988,2019-12-05 00:00:00,191.4,192.4,193.8,190.9,41.216,0.00084,17932572,3449250867.0,1.798941798941802,189.0,1,57.72266065388953,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,HK.09988,2019-12-06 00:00:00,196.1,197.5,198.1,195.4,42.309,0.0009,19205791,3786161450.0,2.6507276507276476,192.4,1,64.97291238557818,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,HK.09988,2019-12-09 00:00:00,197.0,196.6,198.3,196.0,42.116,0.0004,8558132,1684030748.0,-0.45569620253164844,197.5,0,62.69603778346612,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,HK.09988,2019-12-10 00:00:00,195.0,195.4,196.5,193.7,41.859,0.00031,6639899,1297729168.0,-0.6103763987792414,196.6,0,59.36734011101933,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,HK.09988,2019-12-11 00:00:00,196.2,197.6,198.4,195.4,42.33,0.00031,6534411,1289656822.0,1.1258955987717443,195.4,1,63.61701113052536,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,HK.09988,2019-12-12 00:00:00,199.6,200.2,201.2,199.6,43.903,0.00041,8825275,1767082379.0,1.3157894736842077,197.6,1,68.31644814558237,63.46153846153846,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,HK.09988,2019-12-13 00:00:00,202.8,202.0,203.0,199.4,44.298,0.00087,18576570,3730374498.0,0.899100899100905,200.2,1,71.38683924037649,64.93288590604027,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,HK.09988,2019-12-16 00:00:00,201.6,201.0,202.8,200.0,44.078,0.00031,6616578,1332865469.0,-0.49504950495049505,202.0,0,67.05474315879876,63.38594401429423,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,HK.09988,2019-12-17 00:00:00,203.2,203.8,205.8,202.2,44.692,0.00052,11225195,2289954265.0,1.3930348258706524,201.0,1,72.63457810383863,65.86963105032052,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,HK.09988,2019-12-18 00:00:00,203.8,202.6,203.8,201.6,44.429,0.00038,8179646,1656570056.0,-0.5888125613346501,203.8,0,66.81481032906201,63.844811100486965,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,HK.09988,2019-12-19 00:00:00,204.0,204.8,205.4,202.6,44.912,0.00035,7525360,1535639844.0,1.0858835143139276,202.6,1,71.78784200295026,65.9388760636671,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,HK.09988,2019-12-20 00:00:00,205.0,207.0,208.4,204.8,45.394,0.00078,16804751,3479251966.0,1.0742187499999944,204.8,1,76.0879131944209,67.96310002625961,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,HK.09988,2019-12-23 00:00:00,209.0,208.4,210.2,207.8,45.701,0.00046,9892858,2067031118.0,0.6763285024154617,207.0,1,78.58093690737932,69.23246414602087,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,HK.09988,2019-12-24 00:00:00,209.8,210.4,211.0,209.0,46.14,0.00036,7770434,1632437670.0,0.9596928982725527,208.4,1,81.8286606214678,71.0218224879622,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,HK.09988,2019-12-27 00:00:00,211.0,212.8,213.6,210.8,46.666,0.0005,10774808,2294376491.0,1.1406844106463905,210.4,1,85.08521353034173,73.071943179493,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,HK.09988,2019-12-30 00:00:00,211.0,210.6,212.0,210.4,46.184,0.00046,9970904,2104804089.0,-1.0338345864661733,212.8,0,71.07402990662014,68.24388906902254,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,HK.09988,2019-12-31 00:00:00,207.8,207.2,208.2,206.2,45.438,0.00041,8813067,1824228978.0,-1.614434947768284,210.6,0,54.44648699538445,61.40380338889936,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,HK.09988,2020-01-02 00:00:00,208.0,210.0,211.0,208.0,46.052,0.00044,9516678,1999240664.0,1.351351351351357,207.2,1,63.000555127922574,64.59214647863884,65.5124653739612,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
25,HK.09988,2020-01-03 00:00:00,215.0,212.0,215.0,211.2,46.491,0.00053,11307103,2407183770.0,0.9523809523809524,210.0,1,68.13016010982606,66.73349908520575,66.48132974364975,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,HK.09988,2020-01-06 00:00:00,211.0,211.0,211.8,209.2,46.271,0.00053,11303411,2381117912.0,-0.4716981132075472,212.0,0,62.898046985666745,64.60243723506225,65.52096865611001,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
27,HK.09988,2020-01-07 00:00:00,211.8,212.6,214.0,211.6,46.622,0.00054,11676599,2486592839.0,0.7582938388625565,211.0,1,67.66567864218233,66.47130001880859,66.33294499517575,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,HK.09988,2020-01-08 00:00:00,210.0,210.8,211.6,207.8,46.228,0.0007,15095573,3163855655.0,-0.8466603951081764,212.6,0,57.662595489460706,62.426350684144616,64.54847107234264,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
29,HK.09988,2020-01-09 00:00:00,214.0,215.6,215.8,213.2,47.28,0.00057,12261435,2629511294.0,2.2770398481973353,210.8,1,71.2588557615741,68.07745931604723,67.0174495281853,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,HK.09988,2020-01-10 00:00:00,216.6,218.0,219.0,216.4,47.807,0.00055,11860220,2585804054.0,1.113172541743973,215.6,1,75.90213728443129,70.49773173234813,68.17387976792828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,HK.09988,2020-01-13 00:00:00,219.8,222.8,224.6,219.6,48.859,0.00082,17692255,3930617128.0,2.2018348623853266,218.0,1,82.63508078975329,74.68526891998481,70.34389469100167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,HK.09988,2020-01-14 00:00:00,225.0,223.6,227.4,222.8,49.035,0.00078,16784465,3771477930.0,0.3590664272890408,222.8,1,83.55407894854747,75.3221350643527,70.69143543409116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,HK.09988,2020-01-15 00:00:00,220.2,220.8,221.6,218.2,48.421,0.00101,21735164,4780256003.0,-1.2522361359570586,223.6,0,68.35946072519789,68.72096808709203,67.79002701331738,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
34,HK.09988,2020-01-16 00:00:00,219.4,219.4,220.6,218.6,48.114,0.00061,12993720,2850033985.0,-0.6340579710144953,220.8,0,61.634395125887195,65.58576105782984,66.36881285199843,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
35,HK.09988,2020-01-17 00:00:00,218.8,220.4,221.2,216.2,48.333,0.00099,21245436,4647552730.0,0.4557885141294439,219.4,1,64.61795043953458,66.76718195970466,66.88624982456685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,HK.09988,2020-01-20 00:00:00,221.0,220.2,222.8,220.2,48.289,0.00052,11229916,2488900485.0,-0.09074410163340156,220.4,0,63.43402178233817,66.27080991399015,66.67217122292273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,HK.09988,2020-01-21 00:00:00,218.0,215.8,219.0,214.6,47.324,0.00094,20241728,4381192303.0,-1.9981834695731049,220.2,0,42.75393446836312,56.236768920511835,62.10870369953199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,HK.09988,2020-01-22 00:00:00,215.8,218.4,219.8,212.4,47.894,0.00068,14632484,3181729613.0,1.204819277108431,215.8,1,53.50272380526556,60.12835775749925,63.64311269848265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,HK.09988,2020-01-23 00:00:00,216.0,213.4,216.8,212.2,46.798,0.00075,16013394,3428512744.0,-2.2893772893772892,218.4,0,37.328268721188955,50.67480827837887,58.86008780318593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,HK.09988,2020-01-24 00:00:00,213.4,214.6,215.4,211.8,47.061,0.00035,7583855,1624461364.0,0.5623242736644745,213.4,1,42.34778908451022,52.62494512366874,59.62008377446519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,HK.09988,2020-01-29 00:00:00,205.8,207.4,209.6,205.6,45.482,0.00116,24946947,5186071401.0,-3.3550792171481776,214.6,0,26.859104094167307,41.80620155327015,53.439302606145695,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,HK.09988,2020-01-30 00:00:00,207.2,201.8,207.2,199.8,44.254,0.00123,26416987,5340558392.0,-2.7000964320154264,207.4,0,20.023691573737594,35.59691595518933,49.29199614987772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,HK.09988,2020-01-31 00:00:00,204.8,200.4,204.8,199.6,43.947,0.00085,18257747,3674404242.0,-0.6937561942517372,201.8,0,18.60337181704074,34.21112767201117,48.313857379675554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,HK.09988,2020-02-03 00:00:00,201.2,205.0,206.0,200.0,44.956,0.00111,23784275,4857391412.0,2.2954091816367237,200.4,1,36.39271398399705,42.26723472233592,51.60635594857988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,HK.09988,2020-02-04 00:00:00,208.4,213.2,214.8,207.2,46.754,0.00117,25035681,5308523103.0,3.9999999999999947,205.0,1,56.65631329068671,53.3710660154024,56.7331532283286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,HK.09988,2020-02-05 00:00:00,215.6,215.6,218.6,214.0,47.28,0.00112,23975014,5184838688.0,1.1257035647279579,213.2,1,61.01798200858975,56.06886079805462,58.08916944055503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,HK.09988,2020-02-06 00:00:00,215.2,217.4,219.2,213.8,47.675,0.00087,18777127,4076443195.0,0.8348794063079831,215.6,1,64.25527015054826,58.05444885984561,59.09252977537977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,HK.09988,2020-02-07 00:00:00,215.0,215.4,216.2,214.2,47.236,0.00066,14223318,3062984328.0,-0.9199632014719411,217.4,0,57.849712019368205,55.03912305264202,57.49660020169691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,HK.09988,2020-02-10 00:00:00,211.2,212.6,214.8,211.2,46.622,0.00109,23432236,4986098867.0,-1.2999071494893275,215.4,0,49.55101253451093,50.99397689761726,55.31422502388303,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
50,HK.09988,2020-02-11 00:00:00,211.8,212.2,213.6,207.2,46.535,0.00137,29376694,6218579635.0,-0.18814675446848808,212.6,0,48.361706400250846,50.416511422381895,55.0030110575522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,HK.09988,2020-02-12 00:00:00,212.0,215.0,215.8,210.2,47.149,0.00114,24402441,5221494115.0,1.3195098963242278,212.2,1,57.02588428969052,54.362999832874856,56.77922880053905,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,HK.09988,2020-02-13 00:00:00,217.4,217.2,218.0,215.0,47.631,0.00096,20547490,4451042438.0,1.023255813953483,215.0,1,62.89571341974716,57.277622737268466,58.13417019093727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,HK.09988,2020-02-14 00:00:00,214.4,215.0,217.0,213.8,47.149,0.00074,15926098,3434147137.0,-1.0128913443830518,217.2,0,54.0383960499891,53.54693851454378,56.292704968133336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,HK.09988,2020-02-17 00:00:00,214.4,217.4,217.8,213.4,47.675,0.00072,15531105,3362598300.0,1.1162790697674445,215.0,1,61.19265836151429,56.88867355833101,57.81386108661211,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,HK.09988,2020-02-18 00:00:00,215.8,214.0,216.0,213.4,46.929,0.00061,13177196,2824341325.0,-1.5639374425023025,217.4,0,48.388273214627255,51.196782536550316,54.984978021254555,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
56,HK.09988,2020-02-19 00:00:00,214.6,214.0,216.8,214.0,46.929,0.00047,10179246,2189766091.0,0.0,214.0,0,48.388273214627255,51.196782536550316,54.984978021254555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
