,close,correct,correct_by_close_open,current_close,date,high,incr,incr_by_close_open,low,open,rmse_close
0,47.9,1,0.0,47.9,2021-01-28,48.76,0.42,,47.42,48.35,-1358320.7
1,47.5,1,1.0,47.9,2021-01-29,48.66,0.1,0.0,46.69,47.36,-131356.87
2,47.68,1,1.0,47.3,2021-02-01,48.34,0.85,1.0,46.77,47.56,-0.65
3,47.48,1,1.0,48.45,2021-02-02,48.79,0.1,0.0,47.25,48.36,-2.27
4,48.62,-2,,48.3,2021-02-03,49.26,0.19,1.0,47.88,48.48,-1.49
