,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,incr,rsi6,rsi12,rsi24,upper_crossover_rsi_6,upper_crossover_rsi_12,upper_crossover_rsi_24,lower_crossover_rsi_6,lower_crossover_rsi_12,lower_crossover_rsi_24,lower_crossunder_rsi_6,lower_crossunder_rsi_12,lower_crossunder_rsi_24,upper_crossunder_rsi_6,upper_crossunder_rsi_12,upper_crossunder_rsi_24,crossover_6_12,crossover_6_24,crossover_12_24,crossunder_6_12,crossunder_6_24,crossunder_12_24
0,HK.09618,2020-06-18 00:00:00,239.0,234.0,239.0,228.6,52.081,0.00964,29789263,7000096555.0,-2.092050209205021,226.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HK.09618,2020-06-19 00:00:00,234.0,233.6,235.6,233.4,54.528,0.00244,7588265,1778409038.0,-0.17094017094017336,234.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HK.09618,2020-06-22 00:00:00,229.8,228.0,230.0,226.8,53.221,0.0028,8716948,1992980922.0,-2.3972602739726003,233.6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HK.09618,2020-06-23 00:00:00,227.0,230.0,231.6,226.0,53.688,0.00187,5800950,1330228290.0,0.8771929824561403,228.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HK.09618,2020-06-24 00:00:00,232.6,234.8,235.4,231.8,54.808,0.00235,7307560,1713110549.0,2.0869565217391353,230.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HK.09618,2020-06-26 00:00:00,234.8,234.4,236.0,233.4,54.715,0.00101,3147850,739105750.0,-0.17035775127768554,234.8,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HK.09618,2020-06-29 00:00:00,232.0,229.8,232.2,228.2,53.641,0.00133,4125307,947082847.0,-1.9624573378839567,234.4,0,38.202247191011274,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,HK.09618,2020-06-30 00:00:00,231.2,231.8,232.8,228.4,54.108,0.0007,2175206,501528933.0,0.8703220191470844,229.8,1,45.54455445544558,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,HK.09618,2020-07-02 00:00:00,232.4,235.8,235.8,231.4,55.042,0.00149,4620079,1076705613.0,1.7256255392579811,231.8,1,57.62711864406782,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,HK.09618,2020-07-03 00:00:00,236.2,235.6,236.8,234.4,54.995,0.0014,4343783,1024500443.0,-0.08481764206955769,235.8,0,56.87002007177175,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
