,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,incr,rsi6,rsi12,rsi24,crossover_6_12,crossover_6_24,crossover_12_24,upper_crossover_rsi_6,upper_crossover_rsi_12,upper_crossover_rsi_24,lower_crossover_rsi_6,lower_crossover_rsi_12,lower_crossover_rsi_24,crossunder_6_12,crossunder_6_24,crossunder_12_24,lower_crossunder_rsi_6,lower_crossunder_rsi_12,lower_crossunder_rsi_24,upper_crossunder_rsi_6,upper_crossunder_rsi_12,upper_crossunder_rsi_24
0,HK.00175,2017-01-03 00:00:00,6.38,6.65,6.66,6.38,25.364,0.00525,46629600,353294221.0,4.231974921630101,6.4,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HK.00175,2017-01-04 00:00:00,6.68,6.66,6.71,6.57,25.397,0.00628,55815100,427400288.0,0.15037593984962083,6.65,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HK.00175,2017-01-05 00:00:00,6.75,6.95,7.02,6.7,26.357,0.00764,67856151,538842830.19,4.354354354354355,6.66,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HK.00175,2017-01-06 00:00:00,7.07,6.67,7.08,6.66,25.43,0.00648,57568195,451264484.82,-4.02877697841727,6.95,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HK.00175,2017-01-09 00:00:00,6.85,6.96,6.96,6.67,26.39,0.00769,68282414,537015114.88,4.347826086956522,6.67,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HK.00175,2017-01-10 00:00:00,6.99,7.26,7.26,6.87,27.384,0.00898,79794980,649976155.55,4.310344827586205,6.96,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HK.00175,2017-01-11 00:00:00,7.27,7.15,7.47,7.13,27.019,0.00744,66047261,547451985.93,-1.5151515151515074,7.26,0,69.53125000000001,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,HK.00175,2017-01-12 00:00:00,7.1,7.11,7.24,7.05,26.887,0.00376,33406666,271328562.94,-0.5594405594405599,7.15,0,67.01807228915663,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,HK.00175,2017-01-13 00:00:00,7.08,7.43,7.46,7.08,27.947,0.00828,73538517,616358974.75,4.500703234880441,7.11,1,75.51431127012522,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,HK.00175,2017-01-16 00:00:00,7.4,7.19,7.4,7.17,27.152,0.00493,43806182,360471084.04,-3.230148048452212,7.43,0,61.30191693290736,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,HK.00175,2017-01-17 00:00:00,7.25,7.61,7.61,7.24,28.543,0.00639,56730534,480843583.01,5.841446453407509,7.19,1,72.26414505183399,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,HK.00175,2017-01-18 00:00:00,7.64,7.86,7.96,7.63,29.37,0.00937,83213800,737787056.0,3.28515111695138,7.61,1,76.9317670279442,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,HK.00175,2017-01-19 00:00:00,7.92,8.1,8.14,7.83,30.165,0.01061,94248561,852379675.65,3.053435114503808,7.86,1,80.67773913124186,75.98566308243728,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,HK.00175,2017-01-20 00:00:00,8.06,8.14,8.47,8.03,30.298,0.01333,118431396,1099373940.481,0.4938271604938386,8.1,1,81.28553483472871,76.35547000320823,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,HK.00175,2017-01-23 00:00:00,8.19,8.17,8.43,8.14,30.397,0.00685,60917390,565243564.792,0.36855036855036066,8.14,1,81.80075812984296,76.64967308966274,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,HK.00175,2017-01-24 00:00:00,8.19,7.85,8.28,7.85,29.337,0.007,62192082,559221742.868,-3.916768665850677,8.17,0,60.485909393276046,66.95531844329318,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
16,HK.00175,2017-01-25 00:00:00,7.86,8.19,8.21,7.86,30.463,0.00358,31859005,291045323.525,4.331210191082801,7.85,1,70.33982468749878,71.18022138524366,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
