,close,correct,correct_by_close_open,current_close,date,high,incr,incr_by_close_open,low,open,rmse_close
0,254.9,1,1.0,255.6,2020-12-21,257.2,0.19,0,253.22,255.01,
1,252.73,0,0.0,250.0,2020-12-22,254.67,0.81,1,249.91,253.38,
2,250.44,0,0.0,248.8,2020-12-23,251.56,0.74,1,248.39,250.63,
3,250.89,0,0.0,248.4,2020-12-24,252.88,0.8,1,247.99,250.26,-3.92
4,238.04,0,0.0,228.2,2020-12-25,239.03,1.04,1,231.21,235.55,1.9
5,217.03,1,1.0,208.8,2020-12-29,218.49,1.07,1,213.57,216.45,2.31
6,214.85,-2,,222.2,2020-12-30,219.53,0.16,0,214.2,217.77,-15.3
