,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,incr,rsi6,rsi12,rsi24,crossover_6_12,crossover_6_24,crossover_12_24,upper_crossover_rsi_6,upper_crossover_rsi_12,upper_crossover_rsi_24,lower_crossover_rsi_6,lower_crossover_rsi_12,lower_crossover_rsi_24,crossunder_6_12,crossunder_6_24,crossunder_12_24,lower_crossunder_rsi_6,lower_crossunder_rsi_12,lower_crossunder_rsi_24,upper_crossunder_rsi_6,upper_crossunder_rsi_12,upper_crossunder_rsi_24
0,HK.800000,2017-01-03 00:00:00,21993.36,22150.4,22189.31,21883.82,0.0,0.0,0,49328602014.0,0.7140336901683093,22000.56,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HK.800000,2017-01-04 00:00:00,22201.08,22134.47,22228.06,22076.63,0.0,0.0,0,52501540182.0,-0.07191743715689237,22150.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HK.800000,2017-01-05 00:00:00,22302.64,22456.69,22483.01,22230.31,0.0,0.0,0,64639307498.0,1.455738492947866,22134.47,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HK.800000,2017-01-06 00:00:00,22583.29,22503.01,22605.66,22445.78,0.0,0.0,0,58142035087.0,0.20626370137362057,22456.69,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HK.800000,2017-01-09 00:00:00,22561.11,22558.69,22626.43,22476.35,0.0,0.0,0,51338290399.0,0.24743356555412052,22503.01,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HK.800000,2017-01-10 00:00:00,22561.17,22744.85,22744.85,22549.86,0.0,0.0,0,62287162739.0,0.8252252236277898,22558.69,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HK.800000,2017-01-11 00:00:00,22816.01,22935.35,22944.58,22767.37,0.0,0.0,0,69797139176.0,0.837552237099827,22744.85,1,98.0497300473794,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,HK.800000,2017-01-12 00:00:00,22956.44,22829.02,22971.49,22751.67,0.0,0.0,0,63253486578.0,-0.463607488004317,22935.35,0,84.80251078455677,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,HK.800000,2017-01-13 00:00:00,22879.57,22937.38,22971.45,22859.28,0.0,0.0,0,56791806230.0,0.4746590085776813,22829.02,1,86.95745100797473,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,HK.800000,2017-01-16 00:00:00,22895.36,22718.15,22908.86,22657.35,0.0,0.0,0,56860515176.0,-0.9557761174118384,22937.38,0,64.68838791876433,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,HK.800000,2017-01-17 00:00:00,22819.87,22840.97,22867.84,22710.93,0.0,0.0,0,50679175712.0,0.5406250068777594,22718.15,1,69.87488577201626,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
