,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,incr,rsi6,rsi12,rsi24,crossover_6_12,crossover_6_24,crossover_12_24,upper_crossover_rsi_6,upper_crossover_rsi_12,upper_crossover_rsi_24,lower_crossover_rsi_6,lower_crossover_rsi_12,lower_crossover_rsi_24,crossunder_6_12,crossunder_6_24,crossunder_12_24,lower_crossunder_rsi_6,lower_crossunder_rsi_12,lower_crossunder_rsi_24,upper_crossunder_rsi_6,upper_crossunder_rsi_12,upper_crossunder_rsi_24
0,HK.01211,2017-01-03 00:00:00,40.42021,40.72021,41.37021,40.02021,31.435,0.00496,4535286,187831587.6,0.7422029722260332,40.17021,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HK.01211,2017-01-04 00:00:00,41.27021,41.32021,41.52021,40.47021,31.89,0.00485,4438241,185449617.6,1.4734698077441186,40.72021,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HK.01211,2017-01-05 00:00:00,41.67021,41.92021,42.12021,41.52021,32.346,0.00571,5223860,222621330.34,1.452073936700695,41.32021,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HK.01211,2017-01-06 00:00:00,42.32021,41.92021,42.57021,41.62021,32.346,0.00465,4253785,181779332.5,0.0,41.92021,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HK.01211,2017-01-09 00:00:00,42.17021,41.62021,42.17021,40.97021,32.118,0.00395,3611138,151773772.6,-0.7156452699067996,41.92021,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HK.01211,2017-01-10 00:00:00,41.22021,41.82021,41.87021,41.07021,32.27,0.00331,3030900,128051660.0,0.48053577817123666,41.62021,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HK.01211,2017-01-11 00:00:00,42.12021,42.72021,42.97021,41.67021,32.953,0.00579,5299513,228185638.95,2.1520695376708976,41.82021,1,88.46153846153854,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,HK.01211,2017-01-12 00:00:00,42.97021,42.77021,43.37021,42.52021,32.991,0.00492,4505750,196632592.5,0.11704062316172405,42.72021,1,88.72180451127826,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,HK.01211,2017-01-13 00:00:00,43.12021,43.32021,43.47021,42.67021,33.409,0.00432,3950310,173454434.35,1.285941780505647,42.77021,1,91.30938586326775,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,HK.01211,2017-01-16 00:00:00,43.12021,41.67021,43.32021,41.22021,32.156,0.00521,4765462,202456353.1,-3.808845801994048,43.32021,0,50.006345982992706,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
