,close,correct,correct_by_close_open,current_close,date,high,incr,incr_by_close_open,low,open,rmse_close
0,33.13,1,1.0,33.4,2021-01-27,34.13,-0.12,0,32.02,33.13,-1.06
1,31.36,1,1.0,31.7,2021-01-28,31.94,0.04,0,30.28,31.49,-0.96
2,30.0,1,0.0,29.55,2021-01-29,30.72,0.44,1,28.89,29.63,-0.15
3,29.04,1,1.0,28.35,2021-02-01,30.2,1.21,1,27.84,28.86,0.04
4,28.25,0,0.0,28.75,2021-02-02,29.59,-0.01,0,27.55,28.93,-1.43
5,28.99,1,1.0,30.0,2021-02-03,30.07,-0.02,0,28.71,29.97,-2.25
7,29.51,-2,,29.45,2021-02-04,30.1,0.5,1,28.96,29.89,-0.69
