,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,incr,rsi6,rsi12,rsi24,upper_crossover_rsi_6,upper_crossover_rsi_12,upper_crossover_rsi_24,lower_crossover_rsi_6,lower_crossover_rsi_12,lower_crossover_rsi_24,lower_crossunder_rsi_6,lower_crossunder_rsi_12,lower_crossunder_rsi_24,upper_crossunder_rsi_6,upper_crossunder_rsi_12,upper_crossunder_rsi_24,crossover_6_12,crossover_6_24,crossover_12_24,crossunder_6_12,crossunder_6_24,crossunder_12_24
0,HK.00941,2017-01-03 00:00:00,65.955,66.355,66.705,65.705,13.155,0.00041,8419096,689897315.25,0.6064741111363895,66.555,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HK.00941,2017-01-04 00:00:00,66.755,66.605,67.455,65.955,13.195,0.00059,12119843,999055179.04,0.37676135935498456,66.355,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HK.00941,2017-01-05 00:00:00,67.105,68.655,68.655,66.605,13.524,0.00071,14460491,1210479716.322,3.077847008482842,66.605,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HK.00941,2017-01-06 00:00:00,68.955,68.355,69.005,67.755,13.476,0.00088,17967218,1509976560.724,-0.43696744592527437,68.655,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HK.00941,2017-01-09 00:00:00,69.055,68.355,69.055,68.105,13.476,0.0003,6231329,523331010.6,0.0,68.355,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HK.00941,2017-01-10 00:00:00,67.755,68.455,68.505,67.555,13.492,0.00041,8373406,702282076.7,0.14629507717064488,68.355,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HK.00941,2017-01-11 00:00:00,68.905,69.355,69.655,68.705,13.637,0.00087,17717102,1504588885.55,1.3147323058943914,68.455,1,91.66666666666673,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,HK.00941,2017-01-12 00:00:00,69.755,69.205,70.105,68.955,13.613,0.00066,13580002,1156221854.075,-0.21627856679403892,69.355,0,87.3015873015872,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,HK.00941,2017-01-13 00:00:00,69.005,69.705,69.855,69.005,13.693,0.00051,10534390,898068134.65,0.7224911494834187,69.205,1,89.33333333333324,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,HK.00941,2017-01-16 00:00:00,69.555,68.605,69.705,68.155,13.516,0.00042,8588963,725720721.45,-1.5780790474140942,69.705,0,62.804649418822684,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,HK.00941,2017-01-17 00:00:00,69.005,69.405,69.755,68.605,13.645,0.00044,8988167,764226816.2,1.166095765614747,68.605,1,70.46036567208625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,HK.00941,2017-01-18 00:00:00,70.055,70.805,70.955,69.855,13.869,0.00074,15207693,1311659408.25,2.017145738779635,69.405,1,79.37509875834773,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,HK.00941,2017-01-19 00:00:00,70.805,70.705,71.105,70.205,13.853,0.00047,9583586,827244555.85,-0.14123296377375683,70.805,0,77.37362731793357,78.43137254901956,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,HK.00941,2017-01-20 00:00:00,70.555,70.755,71.205,70.205,13.861,0.00082,16718881,1444575500.0,0.07071635669329915,70.705,1,77.71084472052453,78.58407079646011,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,HK.00941,2017-01-23 00:00:00,70.955,70.455,71.105,70.155,13.813,0.00053,10776378,929128241.21,-0.42399830400678,70.755,0,70.18004368895092,75.1037982469629,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,HK.00941,2017-01-24 00:00:00,70.505,71.355,71.455,70.355,13.957,0.00073,15021756,1304207708.45,1.2774111134766954,70.455,1,77.89261798029167,78.25545475635217,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,HK.00941,2017-01-25 00:00:00,70.755,71.155,71.305,70.555,13.925,0.00053,10813176,936099768.227,-0.280288697358283,71.355,0,72.86697286534887,75.92538546285154,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,HK.00941,2017-01-26 00:00:00,71.705,72.555,72.555,71.555,14.15,0.00076,15492726,1361914097.95,1.9675356615838742,71.155,1,82.40365448482186,80.38526612638643,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
