,close,correct,correct_by_close_open,current_close,date,high,incr,incr_by_close_open,low,open,rmse_close
0,8406.34,1,1.0,8426.07,2020-12-24,8548.03,0.02,0,8343.25,8464.75,-304.7
1,7885.89,1,1.0,8142.81,2020-12-25,8083.11,-0.25,0,7827.85,7963.97,-552.77
2,7863.53,1,1.0,7787.06,2020-12-29,7970.25,0.87,1,7731.62,7744.89,-184.42
3,8248.14,1,1.0,7990.81,2020-12-30,8265.18,0.81,1,8057.6,8028.16,27.41
4,8391.35,0,1.0,8292.25,2020-12-31,8363.74,0.35,1,8306.28,8329.74,-134.64
5,8548.17,0,1.0,8425.9,2021-01-04,8649.73,-0.5,1,8417.93,8613.39,-144.95
6,8259.89,0,1.0,8489.69,2021-01-05,8460.99,-0.67,0,8157.95,8419.3,-388.98
7,8283.97,0,0.0,8463.55,2021-01-06,8418.24,-0.37,0,8250.53,8424.04,-373.57
8,8430.86,1,1.0,8609.6,2021-01-07,8632.88,-0.28,0,8279.36,8492.36,-354.32
9,8157.73,1,0.0,8424.62,2021-01-08,8399.5,0.63,0,8116.5,8291.59,-475.52
10,8730.56,1,1.0,8630.32,2021-01-11,8775.64,1.44,1,8587.36,8665.46,-12.09
11,8521.63,0,0.0,8665.47,2021-01-12,8625.79,-0.06,0,8383.59,8596.88,-357.34
12,8606.67,1,1.0,8726.64,2021-01-13,8730.64,-0.27,0,8555.95,8637.04,-421.56
13,8682.92,1,1.0,8669.71,2021-01-14,8750.52,0.59,1,8541.95,8651.44,-278.71
14,8858.79,1,1.0,8895.21,2021-01-15,8903.93,0.27,0,8846.8,8884.11,-242.88
15,8473.59,0,0.0,8775.54,2021-01-18,8636.65,-0.49,0,8372.18,8627.71,-581.07
16,8719.26,0,0.0,9116.24,2021-01-19,8971.3,-0.13,0,8688.56,9033.51,-626.98
17,9094.96,0,0.0,9374.79,2021-01-20,9315.28,-1.35,0,8944.68,9275.92,-526.57
18,8804.85,1,1.0,9885.22,2021-01-21,9387.72,-2.36,0,8952.3,9696.98,-1319.18
19,9302.04,1,1.0,9806.74,2021-01-22,9805.98,-0.42,0,9243.71,9592.05,-752.26
20,9991.8,0,1.0,9765.76,2021-01-25,10298.18,-0.28,1,9782.51,10047.45,-1063.39
22,10637.32,-2,,10218.15,2021-01-26,10559.23,4.07,1,10003.2,10152.31,-800.93
