,close,correct,correct_by_close_open,current_close,date,high,incr,incr_by_close_open,low,open,rmse_close
0,189.09,0,1.0,185.0,2020-12-21,190.77,0.4,1,182.91,185.81,
1,204.87,0,1.0,206.6,2020-12-22,214.04,0.54,0,199.86,210.07,
2,194.09,0,1.0,193.7,2020-12-23,199.2,0.02,1,187.67,193.09,
3,201.7,1,0.0,198.4,2020-12-24,208.89,0.08,1,195.03,202.49,0.12
4,199.32,1,1.0,193.5,2020-12-25,201.27,0.81,1,191.95,194.81,2.64
5,212.38,0,0.0,200.8,2020-12-29,214.76,0.59,1,204.05,206.73,9.03
6,192.84,1,1.0,191.5,2020-12-30,197.46,0.74,1,181.9,188.53,-1.33
7,200.7,0,1.0,193.3,2020-12-31,203.1,0.33,1,192.97,195.68,4.87
8,206.45,1,1.0,203.2,2021-01-04,211.61,0.59,1,199.94,205.74,0.41
9,217.1,0,0.0,223.2,2021-01-05,228.77,0.22,0,212.11,225.97,-9.34
10,227.25,1,1.0,229.6,2021-01-06,238.09,-0.09,0,221.09,230.86,-4.72
11,221.34,0,0.0,223.6,2021-01-07,230.5,0.2,0,213.76,223.0,-5.15
12,230.42,0,0.0,234.2,2021-01-08,244.35,0.09,0,221.87,238.01,-6.62
13,252.68,1,1.0,240.2,2021-01-11,256.98,0.83,1,238.05,242.96,9.21
14,259.31,1,0.0,256.2,2021-01-12,267.2,0.21,1,245.26,258.62,-0.28
15,244.51,1,0.0,253.8,2021-01-13,259.96,0.91,0,239.2,252.66,-11.86
16,259.76,1,0.0,258.0,2021-01-14,264.07,-0.27,1,249.13,259.4,-0.82
17,248.53,1,1.0,249.0,2021-01-15,258.38,0.41,0,241.83,249.66,-3.86
18,250.13,0,0.0,245.8,2021-01-18,252.58,0.88,1,241.33,246.93,0.68
19,240.08,0,0.0,235.4,2021-01-19,247.87,0.75,1,234.59,234.81,1.2
20,238.76,1,1.0,234.0,2021-01-20,236.33,0.69,1,226.59,230.35,1.56
21,246.04,1,1.0,244.0,2021-01-21,252.68,0.8,1,237.87,248.72,-0.58
22,256.59,1,1.0,247.4,2021-01-22,259.12,0.86,1,243.71,248.19,6.35
23,258.84,1,1.0,254.6,2021-01-25,267.61,0.82,1,247.1,257.03,0.64
24,269.85,1,1.0,277.8,2021-01-26,283.04,-0.78,0,261.67,280.3,-11.45
25,263.85,0,0.0,261.4,2021-01-27,269.75,0.52,1,256.68,262.57,-7396803.94
26,261.48,0,0.0,254.0,2021-01-28,266.56,1.05,1,253.52,259.07,4.15
27,232.26,0,0.0,237.0,2021-01-29,239.67,-0.06,0,228.61,236.7,-8.49
28,249.33,1,1.0,237.4,2021-02-01,253.17,0.91,1,242.19,240.94,-1761535.92
29,241.84,0,0.0,245.0,2021-02-02,250.14,0.18,0,231.71,243.86,-7.66
30,275.08,-2,,262.2,2021-02-03,279.96,1.28,1,262.87,268.35,7.94
